형태소,품사,분류,카운트
!!!>_<~,Punctuation,말할 수 없는 비밀,1
!!!^^,Punctuation,나의 소녀시대,1
!!!^^,Punctuation,말할 수 없는 비밀,3
!!!~,Punctuation,말할 수 없는 비밀,2
!!!~!,Punctuation,말할 수 없는 비밀,1
!!!~~~~~,Punctuation,말할 수 없는 비밀,1
"!!""",Punctuation,말할 수 없는 비밀,1
!!&,Punctuation,말할 수 없는 비밀,2
!!*^^,Punctuation,말할 수 없는 비밀,1
!!+_+,Punctuation,말할 수 없는 비밀,1
!!.,Punctuation,그시절 우리가 좋아했던 소녀,1
!!.,Punctuation,말할 수 없는 비밀,3
!!..,Punctuation,말할 수 없는 비밀,3
!!...,Punctuation,그시절 우리가 좋아했던 소녀,1
!!...,Punctuation,나의 소녀시대,1
!!...,Punctuation,말할 수 없는 비밀,4
!!/,Punctuation,그시절 우리가 좋아했던 소녀,1
!!;;,Punctuation,말할 수 없는 비밀,1
!!>,Punctuation,말할 수 없는 비밀,3
!!>.<,Punctuation,패왕별희,1
!!><,Punctuation,말할 수 없는 비밀,1
!!>_<,Punctuation,나의 소녀시대,1
!!>_<,Punctuation,말할 수 없는 비밀,3
!!?,Punctuation,말할 수 없는 비밀,1
!!?!,Punctuation,말할 수 없는 비밀,1
!!??,Punctuation,나의 소녀시대,2
!!??,Punctuation,말할 수 없는 비밀,1
!!????,Punctuation,나의 소녀시대,1
!!@,Punctuation,말할 수 없는 비밀,2
!!@@,Punctuation,말할 수 없는 비밀,1
!!@~!,Punctuation,말할 수 없는 비밀,1
!!^,Punctuation,말할 수 없는 비밀,1
!!^^,Punctuation,그시절 우리가 좋아했던 소녀,3
!!^^,Punctuation,말할 수 없는 비밀,11
!!^^,Punctuation,청설,2
!!^^;,Punctuation,말할 수 없는 비밀,1
!!~,Punctuation,말할 수 없는 비밀,3
!!~~,Punctuation,말할 수 없는 비밀,5
!!~~~,Punctuation,말할 수 없는 비밀,2
"!""",Punctuation,나의 소녀시대,1
!&,Punctuation,말할 수 없는 비밀,1
!',Punctuation,나의 소녀시대,1
!',Punctuation,말할 수 없는 비밀,2
!),Punctuation,나의 소녀시대,1
!+_+,Punctuation,말할 수 없는 비밀,1
"!,",Punctuation,말할 수 없는 비밀,1
"!,",Punctuation,청설,2
!-,Punctuation,말할 수 없는 비밀,1
!.,Punctuation,말할 수 없는 비밀,5
!..,Punctuation,말할 수 없는 비밀,5
!..(,Punctuation,말할 수 없는 비밀,1
!...,Punctuation,그시절 우리가 좋아했던 소녀,2
!...,Punctuation,나의 소녀시대,4
!...,Punctuation,패왕별희,1
!....,Punctuation,말할 수 없는 비밀,1
!..........................,Punctuation,말할 수 없는 비밀,1
!:),Punctuation,말할 수 없는 비밀,1
!><,Punctuation,나의 소녀시대,1
!><,Punctuation,말할 수 없는 비밀,3
!><!!!,Punctuation,말할 수 없는 비밀,1
!>_<,Punctuation,말할 수 없는 비밀,2
!?,Punctuation,그시절 우리가 좋아했던 소녀,1
!?,Punctuation,말할 수 없는 비밀,3
!?,Punctuation,시절인연,1
!?,Punctuation,청설,1
!?!?,Punctuation,말할 수 없는 비밀,1
!@,Punctuation,말할 수 없는 비밀,1
!@,Punctuation,시절인연,1
!@#/,Punctuation,나의 소녀시대,1
!@@@@,Punctuation,말할 수 없는 비밀,1
!^,Punctuation,말할 수 없는 비밀,1
!^*^,Punctuation,말할 수 없는 비밀,1
!^.^,Punctuation,말할 수 없는 비밀,1
!^^,Punctuation,그시절 우리가 좋아했던 소녀,2
!^^,Punctuation,나의 소녀시대,1
!^^,Punctuation,말할 수 없는 비밀,14
!^^,Punctuation,시절인연,1
!^^,Punctuation,청설,4
!^^*,Punctuation,말할 수 없는 비밀,1
!^^^+,Punctuation,말할 수 없는 비밀,1
!~,Punctuation,그시절 우리가 좋아했던 소녀,1
!~,Punctuation,나의 소녀시대,1
!~,Punctuation,말할 수 없는 비밀,24
!~!!!!!!!,Punctuation,말할 수 없는 비밀,1
!~!~!~!~!,Punctuation,말할 수 없는 비밀,1
!~!~!~!~!~!~!~!~!,Punctuation,말할 수 없는 비밀,1
!~*,Punctuation,그시절 우리가 좋아했던 소녀,1
!~;,Punctuation,말할 수 없는 비밀,1
!~^^><,Punctuation,말할 수 없는 비밀,1
!~~,Punctuation,그시절 우리가 좋아했던 소녀,1
!~~,Punctuation,말할 수 없는 비밀,4
!~~~~~~~~~~~~~~~~~,Punctuation,말할 수 없는 비밀,1
"""",Punctuation,5일의마중,2
"""",Punctuation,그시절 우리가 좋아했던 소녀,39
"""",Punctuation,나의 소녀시대,6
"""",Punctuation,말할 수 없는 비밀,70
"""",Punctuation,시절인연,3
