형태소,품사,분류,카운트
빅스,Noun,그시절 우리가 좋아했던 소녀,4
빅파일,Noun,말할 수 없는 비밀,1
빈,Noun,그시절 우리가 좋아했던 소녀,1
빈,Noun,말할 수 없는 비밀,2
빈것,Verb,말할 수 없는 비밀,1
빈다,Verb,말할 수 없는 비밀,1
빈듯,Verb,말할 수 없는 비밀,1
빈약,Noun,그시절 우리가 좋아했던 소녀,1
빈약,Noun,말할 수 없는 비밀,1
빈약하게,Adjective,말할 수 없는 비밀,1
빈약한,Adjective,말할 수 없는 비밀,3
빈약한,Adjective,청설,1
빈약함,Adjective,말할 수 없는 비밀,1
빈약해요,Adjective,말할 수 없는 비밀,1
빈약했지만,Adjective,말할 수 없는 비밀,1
빈자리,Noun,말할 수 없는 비밀,1
빈정대면서,Verb,그시절 우리가 좋아했던 소녀,1
빈틈,Noun,5일의마중,1
빈틈,Noun,그시절 우리가 좋아했던 소녀,1
빈틈,Noun,말할 수 없는 비밀,6
빈틈,Noun,패왕별희,1
빈티나,Noun,말할 수 없는 비밀,1
빌,Verb,말할 수 없는 비밀,1
빌게요,Verb,말할 수 없는 비밀,1
빌겠습니다,Verb,말할 수 없는 비밀,1
빌고,Verb,말할 수 없는 비밀,1
빌드업,Noun,5일의마중,1
빌려,Verb,그시절 우리가 좋아했던 소녀,1
빌려,Verb,말할 수 없는 비밀,2
빌려서,Verb,말할 수 없는 비밀,1
빌려주고,Verb,그시절 우리가 좋아했던 소녀,1
빌려주세요,Verb,말할 수 없는 비밀,1
빌려줘서,Verb,그시절 우리가 좋아했던 소녀,1
빌리자면,Verb,말할 수 없는 비밀,1
빌린,Verb,나의 소녀시대,1
빌린,Verb,패왕별희,1
빌린다,Verb,말할 수 없는 비밀,1
빌릴지,Verb,말할 수 없는 비밀,1
빌며,Verb,말할 수 없는 비밀,1
빌어,Noun,그시절 우리가 좋아했던 소녀,4
빌어주게,Verb,그시절 우리가 좋아했던 소녀,6
빌어주는,Verb,그시절 우리가 좋아했던 소녀,2
빌어주었을까,Verb,그시절 우리가 좋아했던 소녀,1
빌어줄,Verb,그시절 우리가 좋아했던 소녀,1
빌었던,Verb,나의 소녀시대,2
빌었을,Verb,나의 소녀시대,1
빌었지만,Verb,말할 수 없는 비밀,1
빕스,Noun,청설,1
빗,Noun,말할 수 없는 비밀,1
빗나갔음,Verb,말할 수 없는 비밀,1
빗나갔지만,Verb,그시절 우리가 좋아했던 소녀,1
빗나갔지만,Verb,말할 수 없는 비밀,1
빗속,Noun,그시절 우리가 좋아했던 소녀,1
빗었을,Verb,나의 소녀시대,1
빗줄기,Noun,그시절 우리가 좋아했던 소녀,1
빙빙,Noun,나의 소녀시대,1
빙빙,Noun,말할 수 없는 비밀,1
빙산,Noun,말할 수 없는 비밀,1
빙수,Noun,5일의마중,1
빙의,Noun,그시절 우리가 좋아했던 소녀,2
빛,Noun,5일의마중,2
빛,Noun,그시절 우리가 좋아했던 소녀,7
빛,Noun,나의 소녀시대,1
빛,Noun,말할 수 없는 비밀,7
빛,Noun,패왕별희,4
빛과,Noun,청설,1
빛나,Verb,그시절 우리가 좋아했던 소녀,1
빛나,Verb,말할 수 없는 비밀,1
빛나게,Verb,말할 수 없는 비밀,1
빛나고,Verb,그시절 우리가 좋아했던 소녀,1
빛나는,Verb,5일의마중,2
빛나는,Verb,그시절 우리가 좋아했던 소녀,2
빛나는,Verb,나의 소녀시대,3
빛나는,Verb,말할 수 없는 비밀,6
빛나는,Verb,패왕별희,4
빛나다,Verb,패왕별희,1
빛나더군요,Verb,청설,1
빛나던,Verb,그시절 우리가 좋아했던 소녀,3
빛난,Verb,말할 수 없는 비밀,1
빛난다,Verb,나의 소녀시대,1
빛난다,Verb,말할 수 없는 비밀,1
빛난던,Verb,말할 수 없는 비밀,1
빛날,Verb,말할 수 없는 비밀,1
빛났다,Verb,말할 수 없는 비밀,1
빛났던,Verb,5일의마중,1
빛났던,Verb,그시절 우리가 좋아했던 소녀,1
빛났던,Verb,말할 수 없는 비밀,1
빛났던건,Verb,말할 수 없는 비밀,1
빠,Noun,말할 수 없는 비밀,5
빠가,Noun,말할 수 없는 비밀,1
빠뀌는데,Noun,나의 소녀시대,1
빠냐,Verb,말할 수 없는 비밀,1
빠는지,Verb,그시절 우리가 좋아했던 소녀,1
빠돌이,Noun,말할 수 없는 비밀,2
빠라,Adjective,나의 소녀시대,1
빠르,Adjective,시절인연,1
빠르게,Adjective,그시절 우리가 좋아했던 소녀,1
빠르게,Adjective,말할 수 없는 비밀,3
빠르게,Adjective,시절인연,1
빠르게,Adjective,패왕별희,1
빠르고,Adjective,그시절 우리가 좋아했던 소녀,1
빠르고,Adjective,말할 수 없는 비밀,3
빠르기,Noun,말할 수 없는 비밀,1
빠르다,Adjective,말할 수 없는 비밀,2
빠르지는,Adjective,5일의마중,1
빠른,Adjective,그시절 우리가 좋아했던 소녀,1
빠른,Adjective,나의 소녀시대,1
빠른,Adjective,말할 수 없는 비밀,8
빠른,Adjective,청설,2
빠를듯,Adjective,말할 수 없는 비밀,1
빠름,Adjective,말할 수 없는 비밀,1
빠삐놈,Noun,말할 수 없는 비밀,1
빠수니,Noun,말할 수 없는 비밀,1
빠순이,Noun,말할 수 없는 비밀,2
빠저,Noun,말할 수 없는 비밀,1
빠저든다,Noun,나의 소녀시대,1
빠져,Verb,5일의마중,1
빠져,Verb,그시절 우리가 좋아했던 소녀,13
빠져,Verb,나의 소녀시대,9
빠져,Verb,말할 수 없는 비밀,49
빠져,Verb,청설,3
빠져,Verb,패왕별희,4
빠져가는,Verb,말할 수 없는 비밀,1
빠져나간,Verb,청설,1
빠져나갔는데,Verb,그시절 우리가 좋아했던 소녀,1
빠져나오게,Verb,그시절 우리가 좋아했던 소녀,1
빠져나오기가,Verb,그시절 우리가 좋아했던 소녀,1
빠져나오는,Verb,말할 수 없는 비밀,1
빠져나오지,Verb,그시절 우리가 좋아했던 소녀,1
빠져나오지,Verb,나의 소녀시대,1
빠져나오지,Verb,청설,1
빠져나오지,Verb,패왕별희,1
빠져나올수,Verb,나의 소녀시대,2
빠져나올수,Verb,말할 수 없는 비밀,3
빠져나올수가,Verb,말할 수 없는 비밀,1
빠져나옴,Verb,말할 수 없는 비밀,1
빠져드,Noun,나의 소녀시대,1
빠져드,Noun,말할 수 없는 비밀,1
빠져드는,Verb,그시절 우리가 좋아했던 소녀,3
빠져드는,Verb,말할 수 없는 비밀,51
빠져드는,Verb,청설,1
빠져드는,Verb,패왕별희,4
빠져드는거,Verb,말할 수 없는 비밀,3
빠져드는건,Verb,말할 수 없는 비밀,1
빠져드는데,Verb,패왕별희,1
빠져드는지,Verb,시절인연,1
빠져든,Verb,나의 소녀시대,1
빠져든,Verb,말할 수 없는 비밀,5
빠져든,Verb,청설,1
빠져든거,Verb,말할 수 없는 비밀,1
빠져든다,Verb,그시절 우리가 좋아했던 소녀,2
빠져든다,Verb,말할 수 없는 비밀,26
빠져든다,Verb,시절인연,1
빠져든다,Verb,패왕별희,1
빠져든다는,Verb,말할 수 없는 비밀,1
빠져든다면,Verb,말할 수 없는 비밀,1
빠져들,Verb,말할 수 없는 비밀,4
빠져들,Verb,패왕별희,1
빠져들것,Verb,말할 수 없는 비밀,1
빠져들게,Verb,5일의마중,1
빠져들게,Verb,그시절 우리가 좋아했던 소녀,1
빠져들게,Verb,나의 소녀시대,1
빠져들게,Verb,말할 수 없는 비밀,23
빠져들게,Verb,청설,3
빠져들게,Verb,패왕별희,2
빠져들게만,Verb,청설,1
빠져들고,Verb,그시절 우리가 좋아했던 소녀,2
빠져들고,Verb,말할 수 없는 비밀,6
빠져들고,Verb,청설,1
빠져들긴,Verb,말할 수 없는 비밀,1
빠져들다,Verb,말할 수 없는 비밀,4
빠져들며,Verb,그시절 우리가 좋아했던 소녀,1
빠져들며보다,Verb,말할 수 없는 비밀,1
빠져들면,Verb,말할 수 없는 비밀,1
빠져들수,Verb,말할 수 없는 비밀,2
빠져들수밖에,Verb,나의 소녀시대,1
빠져들수밖에,Verb,말할 수 없는 비밀,4
빠져들수밖에,Verb,패왕별희,1
빠져들어,Verb,그시절 우리가 좋아했던 소녀,1
빠져들어,Verb,나의 소녀시대,1
빠져들어,Verb,말할 수 없는 비밀,3
빠져들어서,Verb,말할 수 없는 비밀,4
빠져들어서,Verb,패왕별희,1
빠져들어요,Verb,그시절 우리가 좋아했던 소녀,2
빠져들어요,Verb,말할 수 없는 비밀,2
빠져들어요,Verb,시절인연,1
빠져들엇다,Verb,그시절 우리가 좋아했던 소녀,1
빠져들었다,Verb,그시절 우리가 좋아했던 소녀,3
빠져들었다,Verb,나의 소녀시대,1
빠져들었다,Verb,말할 수 없는 비밀,4
빠져들었다,Verb,패왕별희,1
빠져들었던,Verb,말할 수 없는 비밀,4
빠져들었습니다,Verb,말할 수 없는 비밀,1
빠져들었습니다,Verb,패왕별희,1
빠져들었어,Verb,말할 수 없는 비밀,1
빠져들었어요,Verb,말할 수 없는 비밀,1
빠져들었음,Verb,말할 수 없는 비밀,3
빠져들은,Verb,나의 소녀시대,1
빠져듬,Noun,그시절 우리가 좋아했던 소녀,1
빠져듬,Noun,나의 소녀시대,2
빠져듬,Noun,말할 수 없는 비밀,8
빠져듭니,Noun,말할 수 없는 비밀,5
빠져버렷다,Noun,말할 수 없는 비밀,2
빠져버렷엇다,Noun,그시절 우리가 좋아했던 소녀,1
빠져서,Verb,5일의마중,1
빠져서,Verb,그시절 우리가 좋아했던 소녀,3
빠져서,Verb,나의 소녀시대,6
빠져서,Verb,말할 수 없는 비밀,17
빠져서,Verb,시절인연,1
빠져서,Verb,청설,3
빠져요,Verb,말할 수 없는 비밀,1
빠져있,Verb,말할 수 없는 비밀,1
빠져있길래,Verb,그시절 우리가 좋아했던 소녀,1
빠져있는,Verb,말할 수 없는 비밀,2
빠져있는듯,Verb,말할 수 없는 비밀,1
빠져있었는데,Verb,나의 소녀시대,1
빠져있었다,Verb,말할 수 없는 비밀,1
빠져있을것,Verb,말할 수 없는 비밀,1
빠져있음,Verb,그시절 우리가 좋아했던 소녀,1
빠졋,Noun,말할 수 없는 비밀,1
빠졋다,Noun,말할 수 없는 비밀,1
빠졋슴,Noun,그시절 우리가 좋아했던 소녀,1
빠졋었다,Noun,말할 수 없는 비밀,1
빠졋으,Noun,말할 수 없는 비밀,1
빠졋음,Noun,말할 수 없는 비밀,1
빠졌고,Verb,말할 수 없는 비밀,1
빠졌네,Verb,청설,1
빠졌네요,Verb,그시절 우리가 좋아했던 소녀,1
빠졌네요,Verb,나의 소녀시대,1
빠졌네요,Verb,말할 수 없는 비밀,2
빠졌다,Verb,나의 소녀시대,1
빠졌다,Verb,말할 수 없는 비밀,4
빠졌다,Verb,시절인연,1
빠졌다,Verb,청설,1
빠졌다,Verb,패왕별희,1
빠졌다는,Verb,나의 소녀시대,1
빠졌다는,Verb,말할 수 없는 비밀,3
빠졌더라,Verb,말할 수 없는 비밀,1
빠졌던,Verb,패왕별희,2
빠졌던거,Verb,패왕별희,1
빠졌습니다,Verb,그시절 우리가 좋아했던 소녀,1
빠졌습니다,Verb,나의 소녀시대,1
빠졌습니다,Verb,말할 수 없는 비밀,4
빠졌습니다,Verb,청설,1
빠졌어,Verb,말할 수 없는 비밀,1
빠졌어요,Verb,나의 소녀시대,1
빠졌어요,Verb,말할 수 없는 비밀,11
빠졌어요,Verb,패왕별희,1
빠졌었다는,Verb,말할 수 없는 비밀,1
빠졌었음,Verb,나의 소녀시대,1
빠졌으요,Verb,말할 수 없는 비밀,1
빠졌을만큼,Verb,그시절 우리가 좋아했던 소녀,1
빠졌음,Verb,말할 수 없는 비밀,3
빠졌잖아,Verb,말할 수 없는 비밀,1
빠지,Verb,말할 수 없는 비밀,2
빠지게,Verb,그시절 우리가 좋아했던 소녀,4
빠지게,Verb,나의 소녀시대,7
빠지게,Verb,말할 수 없는 비밀,27
빠지게,Verb,시절인연,1
빠지게,Verb,청설,2
빠지게,Verb,패왕별희,2
빠지게만,Verb,말할 수 없는 비밀,1
빠지고,Verb,그시절 우리가 좋아했던 소녀,2
빠지고,Verb,나의 소녀시대,2
빠지고,Verb,말할 수 없는 비밀,4
빠지고,Verb,패왕별희,1
빠지곤,Verb,나의 소녀시대,1
빠지기,Verb,그시절 우리가 좋아했던 소녀,1
빠지나,Verb,나의 소녀시대,1
빠지네,Verb,말할 수 없는 비밀,1
빠지네요,Verb,말할 수 없는 비밀,2
빠지는,Verb,나의 소녀시대,3
빠지는,Verb,말할 수 없는 비밀,9
빠지는거,Verb,말할 수 없는 비밀,1
빠지는것이,Verb,말할 수 없는 비밀,1
빠지는게,Verb,그시절 우리가 좋아했던 소녀,1
빠지는게,Verb,나의 소녀시대,1
빠지는게,Verb,말할 수 없는 비밀,8
빠지는게,Verb,패왕별희,2
빠지는줄,Verb,나의 소녀시대,1
빠지다,Verb,그시절 우리가 좋아했던 소녀,1
빠지다,Verb,말할 수 없는 비밀,3
빠지다니,Verb,나의 소녀시대,1
빠지도록,Verb,나의 소녀시대,1
빠지면,Verb,말할 수 없는 비밀,3
빠지실꺼에요,Verb,말할 수 없는 비밀,1
빠지지,Verb,그시절 우리가 좋아했던 소녀,2
빠지지,Verb,나의 소녀시대,1
빠지지,Verb,말할 수 없는 비밀,11
빠지지,Verb,청설,1
빠지지,Verb,패왕별희,3
빠지질,Verb,말할 수 없는 비밀,1
빠진,Verb,그시절 우리가 좋아했던 소녀,5
빠진,Verb,나의 소녀시대,2
빠진,Verb,말할 수 없는 비밀,19
빠진,Verb,청설,3
빠진,Verb,패왕별희,1
빠진거,Verb,나의 소녀시대,1
빠진거,Verb,말할 수 없는 비밀,2
빠진건,Verb,말할 수 없는 비밀,1
빠진것,Verb,나의 소녀시대,1
빠진나,Verb,말할 수 없는 비밀,1
빠진다,Verb,5일의마중,1
빠진다,Verb,그시절 우리가 좋아했던 소녀,1
빠진다,Verb,말할 수 없는 비밀,5
빠진다는,Verb,그시절 우리가 좋아했던 소녀,1
빠진다면,Verb,말할 수 없는 비밀,1
빠진듯,Verb,나의 소녀시대,2
빠진듯,Verb,말할 수 없는 비밀,2
빠진듯,Verb,청설,1
빠질,Verb,그시절 우리가 좋아했던 소녀,1
빠질,Verb,나의 소녀시대,4
빠질,Verb,말할 수 없는 비밀,4
빠질,Verb,패왕별희,1
빠질거,Verb,말할 수 없는 비밀,2
빠질거라곤,Verb,그시절 우리가 좋아했던 소녀,1
빠질것,Verb,그시절 우리가 좋아했던 소녀,1
빠질것,Verb,말할 수 없는 비밀,1
빠질것만,Verb,말할 수 없는 비밀,1
빠질것이,Verb,말할 수 없는 비밀,1
빠질것이다,Verb,말할 수 없는 비밀,1
빠질게,Verb,말할 수 없는 비밀,2
빠질게,Verb,패왕별희,2
빠질수가,Verb,나의 소녀시대,1
빠질수밖에,Verb,말할 수 없는 비밀,6
빠질수있겠,Verb,나의 소녀시대,1
빠질줄이야,Verb,나의 소녀시대,1
빠질줄이야,Verb,말할 수 없는 비밀,1
빠짐,Verb,5일의마중,1
빠짐,Verb,그시절 우리가 좋아했던 소녀,4
빠짐,Verb,나의 소녀시대,11
빠짐,Verb,말할 수 없는 비밀,14
빠짐,Verb,시절인연,2
빠짐,Verb,패왕별희,2
빠집니다,Verb,말할 수 없는 비밀,2
빠트린,Noun,말할 수 없는 비밀,1
빡,Noun,나의 소녀시대,1
빡돔,Noun,말할 수 없는 비밀,1
빡살남,Noun,패왕별희,1
빡쳐서,Adjective,나의 소녀시대,1
빡쳐서,Adjective,패왕별희,1
빡치는거야,Adjective,그시절 우리가 좋아했던 소녀,1
빡친,Adjective,그시절 우리가 좋아했던 소녀,1
빡침이,Adjective,그시절 우리가 좋아했던 소녀,1
빤,Verb,나의 소녀시대,1
빤하고,Verb,나의 소녀시대,1
빤하디,Verb,나의 소녀시대,1
빤한,Verb,그시절 우리가 좋아했던 소녀,1
빨,Noun,그시절 우리가 좋아했던 소녀,6
빨,Noun,나의 소녀시대,1
빨,Noun,말할 수 없는 비밀,5
빨간,Adjective,그시절 우리가 좋아했던 소녀,2
빨간색,Noun,말할 수 없는 비밀,1
빨갱이,Noun,5일의마중,1
빨라,Adjective,말할 수 없는 비밀,2
빨랐다,Adjective,말할 수 없는 비밀,2
빨랐던,Adjective,말할 수 없는 비밀,1
빨려,Verb,5일의마중,1
빨려,Verb,말할 수 없는 비밀,9
빨려,Verb,패왕별희,1
빨리,Adverb,5일의마중,1
빨리,Adverb,그시절 우리가 좋아했던 소녀,11
빨리,Adverb,나의 소녀시대,7
빨리,Adverb,말할 수 없는 비밀,31
빨리,Adverb,청설,6
빨리,Adverb,패왕별희,6
빨릴,Noun,그시절 우리가 좋아했던 소녀,1
빨림,Noun,패왕별희,1
빨이였던거니,Verb,말할 수 없는 비밀,1
빨인듯,Verb,청설,1
빳,Noun,청설,1
빵,Noun,나의 소녀시대,2
빵,Noun,말할 수 없는 비밀,2
빵빵,Noun,그시절 우리가 좋아했던 소녀,1
빵빵,Noun,나의 소녀시대,1
빵빵,Noun,말할 수 없는 비밀,4
빵빵,Noun,청설,1
빵상,Noun,말할 수 없는 비밀,1
빵셔틀,Noun,나의 소녀시대,2
빵점,Noun,말할 수 없는 비밀,3
빵터져서,Adjective,나의 소녀시대,1
빵터졌다,Adjective,나의 소녀시대,1
빵터졌다,Adjective,말할 수 없는 비밀,1
빵터졌어,Adjective,나의 소녀시대,1
빵터지는,Adjective,나의 소녀시대,1
빵터짐,Adjective,나의 소녀시대,2
빻,Noun,그시절 우리가 좋아했던 소녀,1
빼,Noun,그시절 우리가 좋아했던 소녀,1
빼,Noun,나의 소녀시대,2
빼,Noun,말할 수 없는 비밀,1
빼,Noun,패왕별희,1
빼게한,Verb,말할 수 없는 비밀,1
빼고,Verb,그시절 우리가 좋아했던 소녀,7
빼고,Verb,나의 소녀시대,15
빼고,Verb,말할 수 없는 비밀,20
빼고,Verb,시절인연,1
빼고,Verb,청설,1
빼고는,Verb,그시절 우리가 좋아했던 소녀,9
빼고는,Verb,나의 소녀시대,13
빼고는,Verb,말할 수 없는 비밀,9
빼고는,Verb,청설,1
빼고는다,Verb,말할 수 없는 비밀,1
빼고지루,Foreign,말할 수 없는 비밀,1
빼곤,Noun,말할 수 없는 비밀,1
빼곤,Verb,5일의마중,1
빼곤,Verb,그시절 우리가 좋아했던 소녀,3
빼곤,Verb,나의 소녀시대,11
빼곤,Verb,말할 수 없는 비밀,15
빼곤,Verb,시절인연,1
빼기,Noun,말할 수 없는 비밀,1
빼긴,Verb,그시절 우리가 좋아했던 소녀,1
빼네여,Verb,말할 수 없는 비밀,1
빼놓고,Verb,나의 소녀시대,1
빼놓는,Verb,그시절 우리가 좋아했던 소녀,2
빼놓는,Verb,말할 수 없는 비밀,1
빼놓으면,Verb,청설,1
빼놓을게,Verb,말할 수 없는 비밀,1
빼놓을수,Verb,말할 수 없는 비밀,1
빼는게,Verb,나의 소녀시대,1
빼다,Verb,말할 수 없는 비밀,1
빼먹어서,Verb,그시절 우리가 좋아했던 소녀,1
빼먹을수,Verb,말할 수 없는 비밀,1
빼면,Verb,그시절 우리가 좋아했던 소녀,9
빼면,Verb,나의 소녀시대,18
빼면,Verb,말할 수 없는 비밀,14
빼면,Verb,청설,2
빼면요,Verb,나의 소녀시대,1
빼면은,Verb,말할 수 없는 비밀,2
빼박,Noun,나의 소녀시대,1
빼서,Verb,나의 소녀시대,1
빼앗겼습니다,Verb,말할 수 없는 비밀,1
빼앗긴다,Verb,청설,1
빼앗아,Verb,말할 수 없는 비밀,1
빼앗은,Verb,패왕별희,1
빼았,Verb,그시절 우리가 좋아했던 소녀,1
빼야지,Verb,말할 수 없는 비밀,1
빼자,Verb,말할 수 없는 비밀,3
빼트린,Noun,말할 수 없는 비밀,1
뺀,Verb,패왕별희,1
뺀다,Verb,말할 수 없는 비밀,2
뺀다면,Verb,말할 수 없는 비밀,2
뺀듯,Verb,5일의마중,1
뺄것이,Verb,말할 수 없는 비밀,1
뺄게,Verb,말할 수 없는 비밀,1
뺄래,Verb,말할 수 없는 비밀,1
뺌,Verb,그시절 우리가 좋아했던 소녀,1
뺌,Verb,나의 소녀시대,3
뺌,Verb,말할 수 없는 비밀,4
뺌,Verb,청설,1
뺍니다,Verb,말할 수 없는 비밀,2
뺍시다,Verb,5일의마중,1
뺍시다,Verb,말할 수 없는 비밀,1
뺏,Verb,그시절 우리가 좋아했던 소녀,1
뺏,Verb,말할 수 없는 비밀,1
뺏어요,Verb,말할 수 없는 비밀,2
뺏었다면,Verb,말할 수 없는 비밀,1
뺐네요,Verb,나의 소녀시대,2
뺐어,Verb,말할 수 없는 비밀,1
뺐어도,Verb,그시절 우리가 좋아했던 소녀,1
뺐어요,Verb,나의 소녀시대,1
뺐음,Verb,나의 소녀시대,1
뺐음,Verb,말할 수 없는 비밀,1
뺘져,Noun,말할 수 없는 비밀,1
뺨,Noun,나의 소녀시대,1
뺨,Noun,말할 수 없는 비밀,5
뺨,Noun,청설,1
뺨칠,Noun,청설,1
뺴,Noun,말할 수 없는 비밀,2
뻇,Noun,말할 수 없는 비밀,1
뻐렁치,Noun,나의 소녀시대,1
뻐커,Noun,그시절 우리가 좋아했던 소녀,1
뻑,Noun,말할 수 없는 비밀,8
뻑가,Noun,말할 수 없는 비밀,2
뻑감,Noun,말할 수 없는 비밀,2
뻑갔음,Noun,말할 수 없는 비밀,1
뻔,Noun,그시절 우리가 좋아했던 소녀,6
뻔,Noun,나의 소녀시대,14
뻔,Noun,말할 수 없는 비밀,49
뻔,Noun,청설,1
뻔,Noun,패왕별희,1
뻔뻔,Noun,말할 수 없는 비밀,1
뻔하,Adjective,말할 수 없는 비밀,1
뻔하거나,Adjective,말할 수 없는 비밀,1
뻔하건,Adjective,말할 수 없는 비밀,1
뻔하게,Adjective,말할 수 없는 비밀,2
뻔하겟지하고,Adjective,말할 수 없는 비밀,1
뻔하고,Adjective,그시절 우리가 좋아했던 소녀,2
뻔하고,Adjective,나의 소녀시대,15
뻔하고,Adjective,말할 수 없는 비밀,12
뻔하고,Adjective,시절인연,1
뻔하고,Adjective,청설,7
뻔하고요,Adjective,나의 소녀시대,1
뻔하기도,Adjective,나의 소녀시대,2
뻔하기도,Adjective,말할 수 없는 비밀,1
뻔하긴,Adjective,말할 수 없는 비밀,2
뻔하긴,Adjective,청설,3
뻔하긴하지만,Adjective,그시절 우리가 좋아했던 소녀,1
뻔하네,Adjective,나의 소녀시대,1
뻔하네,Adjective,말할 수 없는 비밀,1
뻔하네,Adjective,청설,1
뻔하다,Adjective,그시절 우리가 좋아했던 소녀,1
뻔하다,Adjective,나의 소녀시대,3
뻔하다,Adjective,말할 수 없는 비밀,3
뻔하다가,Adjective,나의 소녀시대,1
뻔하다고,Adjective,말할 수 없는 비밀,4
뻔하다는,Adjective,말할 수 없는 비밀,1
뻔하다는,Adjective,청설,1
뻔하다니,Adjective,청설,1
뻔하도,Adjective,나의 소녀시대,1
뻔하디,Adjective,나의 소녀시대,2
뻔하디,Adjective,말할 수 없는 비밀,2
뻔하디,Adjective,패왕별희,1
뻔하면,Adjective,시절인연,1
뻔하면서,Adjective,나의 소녀시대,1
뻔하지,Adjective,5일의마중,1
뻔하지,Adjective,그시절 우리가 좋아했던 소녀,5
뻔하지,Adjective,나의 소녀시대,1
뻔하지,Adjective,말할 수 없는 비밀,6
뻔하지도,Adjective,말할 수 없는 비밀,1
뻔하지만,Adjective,나의 소녀시대,12
뻔하지만,Adjective,말할 수 없는 비밀,8
뻔하지만,Adjective,청설,1
뻔하지만은,Adjective,말할 수 없는 비밀,1
뻔하지면서도,Adjective,말할 수 없는 비밀,1
뻔한,Adjective,5일의마중,1
뻔한,Adjective,그시절 우리가 좋아했던 소녀,17
뻔한,Adjective,나의 소녀시대,42
뻔한,Adjective,말할 수 없는 비밀,118
뻔한,Adjective,시절인연,8
뻔한,Adjective,청설,22
뻔한,Adjective,패왕별희,1
뻔한거,Adjective,나의 소녀시대,2
뻔한건,Adjective,나의 소녀시대,1
뻔한것,Adjective,말할 수 없는 비밀,1
뻔한내,Adjective,말할 수 없는 비밀,1
뻔한내용,Adjective,나의 소녀시대,1
뻔한내용,Adjective,말할 수 없는 비밀,1
뻔한데,Adjective,나의 소녀시대,4
뻔한데,Adjective,말할 수 없는 비밀,1
뻔한데,Adjective,청설,2
뻔한면이,Adjective,나의 소녀시대,1
뻔한줄,Adjective,말할 수 없는 비밀,1
뻔할,Adjective,그시절 우리가 좋아했던 소녀,1
뻔할,Adjective,나의 소녀시대,2
뻔할,Adjective,말할 수 없는 비밀,2
뻔할거,Adjective,말할 수 없는 비밀,1
뻔할것,Adjective,그시절 우리가 좋아했던 소녀,1
뻔할수,Adjective,시절인연,1
뻔할수도,Adjective,청설,1
뻔할줄,Adjective,그시절 우리가 좋아했던 소녀,1
뻔할줄,Adjective,말할 수 없는 비밀,1
뻔함,Adjective,5일의마중,1
뻔함,Adjective,그시절 우리가 좋아했던 소녀,2
뻔함,Adjective,나의 소녀시대,2
뻔함,Adjective,말할 수 없는 비밀,9
뻔함,Adjective,청설,1
뻔항,Noun,말할 수 없는 비밀,1
뻔해,Adjective,말할 수 없는 비밀,1
뻔해도,Adjective,나의 소녀시대,4
뻔해도,Adjective,청설,1
뻔해서,Adjective,나의 소녀시대,5
뻔해서,Adjective,말할 수 없는 비밀,3
뻔해서,Adjective,패왕별희,1
뻔해써여,Adjective,말할 수 없는 비밀,1
뻔해요,Adjective,말할 수 없는 비밀,1
뻔햇,Noun,말할 수 없는 비밀,6
뻔햇삼,Noun,말할 수 없는 비밀,1
뻔햇음,Noun,그시절 우리가 좋아했던 소녀,1
뻔햇음,Noun,말할 수 없는 비밀,1
뻔했고,Adjective,그시절 우리가 좋아했던 소녀,1
뻔했고,Adjective,말할 수 없는 비밀,1
뻔했구,Adjective,말할 수 없는 비밀,1
뻔했네,Adjective,그시절 우리가 좋아했던 소녀,2
뻔했네,Adjective,말할 수 없는 비밀,1
뻔했네,Adjective,패왕별희,1
뻔했네요,Adjective,말할 수 없는 비밀,1
뻔했는데,Adjective,말할 수 없는 비밀,1
뻔했다,Adjective,그시절 우리가 좋아했던 소녀,4
뻔했다,Adjective,나의 소녀시대,2
뻔했다,Adjective,말할 수 없는 비밀,17
뻔했다,Adjective,청설,1
뻔했다,Adjective,패왕별희,1
뻔했다가,Adjective,말할 수 없는 비밀,1
뻔했다고,Adjective,말할 수 없는 비밀,1
뻔했다는,Adjective,말할 수 없는 비밀,1
뻔했던,Adjective,나의 소녀시대,1
뻔했던,Adjective,말할 수 없는 비밀,2
뻔했던,Adjective,청설,1
뻔했던,Adjective,패왕별희,1
뻔했던것,Adjective,말할 수 없는 비밀,1
뻔했습니다,Adjective,그시절 우리가 좋아했던 소녀,3
뻔했습니다,Adjective,나의 소녀시대,2
뻔했습니다,Adjective,말할 수 없는 비밀,2
뻔했어,Adjective,말할 수 없는 비밀,5
뻔했어여,Adjective,나의 소녀시대,1
뻔했어요,Adjective,나의 소녀시대,4
뻔했어요,Adjective,말할 수 없는 비밀,8
뻔했어요,Adjective,패왕별희,1
뻔했음,Adjective,그시절 우리가 좋아했던 소녀,1
뻔했음,Adjective,나의 소녀시대,1
뻔했음,Adjective,말할 수 없는 비밀,8
뻔했음,Adjective,청설,1
뻔했지만,Adjective,그시절 우리가 좋아했던 소녀,1
뻔히,Adjective,나의 소녀시대,3
뻔히,Adjective,말할 수 없는 비밀,13
뻘,Noun,나의 소녀시대,1
뻣,Noun,5일의마중,1
뻣,Noun,말할 수 없는 비밀,4
뻣,Noun,청설,1
뻣음,Noun,말할 수 없는 비밀,1
뻥,Noun,나의 소녀시대,3
뻥,Noun,말할 수 없는 비밀,9
뻥뚤린듯,Verb,청설,1
